,sr,nsecode,name,bsecode,per_chg,close,volume
21,22,NEWGEN,Newgen Software Technologies Ltd,540900,0.8,1234.2,379333
7,8,SIEMENS,Siemens Limited,500550,0.52,3297.5,333166
0,1,BOSCHLTD,Bosch Limited,500530,0.45,31595.0,29686
5,6,ALKEM,Alkem Laboratories Limited,539523,0.39,4862.5,181782
32,33,CHALET,Chalet Hotels Ltd,542399,0.36,920.85,182922
40,41,SONATSOFTW,Sonata Software Limited,532221,0.17,410.15,665390
22,23,OLECTRA,Olectra Greentech Ltd,532439,0.16,1221.9,231558
50,51,BANKINDIA,Bank Of India,532149,0.1,124.38,12062024
12,13,ASIANPAINT,Asian Paints Limited,500820,0.08,2245.2,822087
41,42,LATENTVIEW,Latent View Analytics Ltd,543398,0.05,409.4,131045
42,43,EIHOTEL,Eih Limited,500840,0.01,374.6,384642
30,31,FINCABLES,Finolex Cables Limited,500144,-0.01,969.4,200857
28,29,ARE&M,Amara Raja Energy & Mobility Ltd,500008,-0.02,1000.1,424767
25,26,KAJARIACER,Kajaria Ceramics Limited,500233,-0.04,1012.4,119386
15,16,BBTC,Bombay Burmah Trading Corporation Limited,501425,-0.05,1980.5,40525
46,47,USHAMART,Usha Martin Limited,517146,-0.08,306.15,327805
52,53,SUZLON,Suzlon Energy Limited,532667,-0.09,66.71,75950376
34,35,RAYMOND,Raymond Limited,500330,-0.1,617.15,162657
43,44,FSL,Firstsource Solutions Limited,532809,-0.11,373.6,728562
8,9,PIDILITIND,Pidilite Industries Limited,500331,-0.11,3049.8,158038
44,45,BIOCON,Biocon Limited,532523,-0.17,330.05,1250474
27,28,SUNDRMFAST,Sundram Fasteners Limited,500403,-0.18,1002.0,75499
13,14,POLYMED,Poly Medicure Limited,531768,-0.19,2232.9,227146
24,25,JUBLPHARMA,Jubilant Pharmova Ltd,530019,-0.2,1140.0,116793
2,3,GODFRYPHLP,Godfrey Phillips India Limited,500163,-0.35,8189.5,53137
20,21,EMCURE,Emcure Pharmaceuticals Ltd,544210,-0.38,1327.4,79144
23,24,GODREJCP,Godrej Consumer Products Limited,532424,-0.4,1210.1,878031
56,57,TRIDENT,Trident Limited,521064,-0.48,30.88,6533657
29,30,EIDPARRY,Eid Parry India Limited,500125,-0.51,969.45,169339
47,48,AWL,Adani Wilmar Ltd,543458,-0.53,263.85,1296719
26,27,ALIVUS,Alivus Life Sciences Ltd,543322,-0.53,1006.1,50180
39,40,VTL,Vardhman Textiles Limited,502986,-0.54,485.4,62417
31,32,CARBORUNIV,Carborundum Universal Limited,513375,-0.57,949.5,131151
48,49,GPIL,Godawari Power And Ispat Limited,532734,-0.63,187.93,1756051
33,34,MARICO,Marico Limited,531642,-0.64,698.65,1105116
45,46,ITI,Iti Limited,523610,-0.64,325.3,563458
6,7,MAZDOCK,Mazagon Dock Shipbuilders Ltd,543237,-0.74,3404.7,3049803
35,36,SUNTV,Sun Tv Network Limited,532733,-0.78,614.85,163218
36,37,HAPPSTMNDS,Happiest Minds Technologies Ltd,543227,-0.83,588.9,202583
9,10,WAAREEENER,Waaree Energies Ltd,544277,-0.84,2828.3,1045219
10,11,COLPAL,Colgate Palmolive (india) Limited,500830,-0.84,2432.5,385685
11,12,DOMS,Doms Industries Ltd,544045,-0.84,2419.0,63997
49,50,ZEEL,Zee Entertainment Enterprises Limited,505537,-0.9,126.59,5354896
1,2,3MINDIA,3m India Limited,523395,-0.91,29360.0,2253
54,55,NETWORK18,Network18 Media & Investments Limited,532798,-1.01,54.14,2591635
19,20,IPCALAB,Ipca Laboratories Limited,524494,-1.09,1370.9,594779
3,4,BAYERCROP,Bayer Cropscience Limited,506285,-1.38,5498.0,17366
14,15,CAPLIPOINT,Caplin Point Laboratories Limited,524742,-1.39,2093.3,64316
53,54,MAHABANK,Bank Of Maharashtra,532525,-1.56,55.04,29951358
51,52,TTML,Tata Teleservices (maharashtra) Limited,532371,-1.67,71.12,3550113
18,19,METROPOLIS,Metropolis Healthcare Ltd,542650,-1.7,1652.2,78720
16,17,DEEPAKNTR,Deepak Nitrite Limited,506401,-2.02,1940.6,506995
38,39,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,-2.27,540.05,2614146
37,38,INDGN,Indegene Ltd,544172,-2.37,581.6,1771364
4,5,BASF,Basf India Limited,500042,-2.38,4994.0,37153
55,56,UCOBANK,Uco Bank,532505,-2.8,32.94,40883060
17,18,BHARTIHEXA,Bharti Hexacom Ltd,544162,-3.16,1819.2,756373
