,sr,nsecode,name,bsecode,per_chg,close,volume
30,31,IDFCFIRSTB,IDFC First Bank Ltd,539437,7.11,71.55,121734090
5,6,ICICIGI,ICICI Lombard General Insurance Company Ltd,540716,6.85,2006.2,2498448
3,4,GODREJPROP,Godrej Properties Limited,533150,6.7,2467.0,3874231
12,13,DLF,Dlf Limited,532868,6.62,880.35,13717251
4,5,MUTHOOTFIN,Muthoot Finance Limited,533398,6.61,2446.2,2308405
13,14,SHRIRAMFIN,Shriram Finance Ltd,511218,5.65,688.25,20115034
22,23,MANAPPURAM,Manappuram Finance Limited,531213,5.53,247.56,27729027
7,8,CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,5.4,1593.2,6915310
25,26,RBLBANK,Rbl Bank Limited,540065,5.19,217.63,27875647
10,11,SBICARD,SBI Cards & Payment Services Ltd,543066,5.16,993.1,3755601
17,18,IIFL,Iifl Holdings Limited,532636,5.09,451.05,5261950
21,22,M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,4.91,275.55,8917163
0,1,BAJFINANCE,Bajaj Finance Limited,500034,4.9,9371.5,1978386
1,2,MCX,Multi Commodity Exchange Of India Limited,534091,4.49,7418.0,1665660
2,3,HDFCAMC,HDFC Asset Management Company Ltd,541729,4.13,5087.5,2386078
28,29,BANDHANBNK,Bandhan Bank Ltd,541153,4.01,173.55,15836205
18,19,POONAWALLA,Poonawalla Fincorp Ltd,524000,3.98,421.1,3648823
9,10,PNBHOUSING,Pnb Housing Finance Limited,540173,3.85,1104.9,6611228
24,25,ABCAPITAL,Aditya Birla Capital Ltd,540691,3.65,233.41,7621338
26,27,LTF,L&T Finance Ltd,533519,3.51,189.79,21470221
27,28,NATIONALUM,National Aluminium Company Limited,532234,3.33,188.47,24260037
20,21,RECLTD,Rural Electrification Corporation Limited,532955,2.98,415.0,17153248
14,15,JSWENERGY,Jsw Energy Limited,533148,2.9,522.85,5565991
29,30,HFCL,Himachal Futuristic Communications Limited,500183,2.85,91.42,54799698
19,20,PFC,Power Finance Corporation Limited,532810,2.57,418.4,11031104
6,7,BAJAJFINSV,Bajaj Finserv Limited,532978,2.37,1990.0,6970191
16,17,HINDZINC,Hindustan Zinc Limited,500188,2.17,502.25,15506056
11,12,ADANIENSOL,Adani Energy Solutions Ltd,539254,1.36,884.1,6679702
8,9,BLUESTARCO,Blue Star Limited,500067,0.27,1589.2,1563716
23,24,BANKBARODA,Bank Of Baroda,532134,-1.78,246.18,27877160
15,16,SONACOMS,Sona BLW Precision Forgings Ltd,543300,-3.4,510.15,4829182
