,sr,nsecode,name,bsecode,per_chg,close,volume
8,9,IIFL,Iifl Holdings Limited,532636,8.07,487.45,10404725
12,13,BANDHANBNK,Bandhan Bank Ltd,541153,7.31,186.24,46611797
1,2,MCX,Multi Commodity Exchange Of India Limited,534091,7.25,7955.5,2526757
5,6,MGL,Mahanagar Gas Limited,539957,6.52,1416.3,3006665
13,14,IREDA,Indian Renewable Energy Development Agency Ltd,544026,4.79,183.24,55881568
0,1,OFSS,Oracle Financial Services Software Limited,532466,4.27,9161.5,313597
3,4,INDIGO,Interglobe Aviation Limited,539448,3.91,5695.0,1386071
7,8,BHARATFORG,Bharat Forge Limited,500493,3.72,1344.6,2575104
11,12,IEX,Indian Energy Exchange Ltd,540750,3.55,209.31,35814295
10,11,JIOFIN,Jio Financial Services Ltd,20712,3.49,304.25,26608267
6,7,KPITTECH,KPIT Technologies Ltd,542651,2.63,1353.4,1104628
2,3,TATAELXSI,Tata Elxsi Limited,500408,2.45,6631.5,161923
9,10,EXIDEIND,Exide Industries Limited,500086,1.91,400.8,3553688
4,5,ADANIENT,Adani Enterprises Limited,512599,1.89,2582.1,1711167
