,sr,nsecode,name,bsecode,per_chg,close,volume
7,8,LTTS,L&t Technology Services Limited,540115,0.89,4337.4,68357
13,14,RADICO,Radico Khaitan Limited,532497,0.75,2650.0,90517
38,39,RVNL,Rail Vikas Nigam Ltd,542649,0.72,431.75,14101653
47,48,UCOBANK,Uco Bank,532505,0.7,33.17,49322175
39,40,IGIL,International Gemmological Institute (India) Ltd,544311,0.65,404.7,1113778
45,46,SUZLON,Suzlon Energy Limited,532667,0.63,67.13,110914040
46,47,NETWORK18,Network18 Media & Investments Limited,532798,0.63,54.48,2935749
19,20,DEEPAKNTR,Deepak Nitrite Limited,506401,0.59,1952.0,166093
0,1,PAGEIND,Page Industries Limited,532827,0.49,46325.0,30684
40,41,BEL,Bharat Electronics Limited,500049,0.45,392.45,13744521
36,37,RAYMOND,Raymond Limited,500330,0.43,619.8,157143
4,5,LINDEINDIA,Linde India Limited,523457,0.41,7479.0,14716
37,38,TARIL,Transformers & Rectifiers India Ltd,532928,0.35,517.8,553600
30,31,JUBLPHARMA,Jubilant Pharmova Ltd,530019,0.34,1143.9,134757
18,19,ANANDRATHI,Anand Rathi Wealth Ltd,543415,0.31,1984.3,52492
42,43,FSL,Firstsource Solutions Limited,532809,0.28,374.65,850111
15,16,DOMS,Doms Industries Ltd,544045,0.25,2425.0,51385
5,6,ALKEM,Alkem Laboratories Limited,539523,0.23,4873.5,83010
32,33,SUNDRMFAST,Sundram Fasteners Limited,500403,0.22,1004.2,60341
2,3,3MINDIA,3m India Limited,523395,0.22,29425.0,2622
28,29,OLECTRA,Olectra Greentech Ltd,532439,0.22,1224.6,518947
33,34,CARBORUNIV,Carborundum Universal Limited,513375,0.21,951.5,120303
9,10,AIAENG,Aia Engineering Limited,532683,0.21,3509.3,31123
14,15,AIIL,Authum Investment & Infrastructure Ltd,539177,0.19,2499.9,63561
48,49,TRIDENT,Trident Limited,521064,0.06,30.9,8037730
34,35,JUBLINGREA,Jubilant Ingrevia Ltd,543271,0.03,707.0,162409
44,45,GPIL,Godawari Power And Ispat Limited,532734,0.0,187.93,1274396
22,23,TORNTPOWER,Torrent Power Limited,532779,-0.06,1407.2,883603
24,25,EMCURE,Emcure Pharmaceuticals Ltd,544210,-0.11,1325.9,235567
23,24,IPCALAB,Ipca Laboratories Limited,524494,-0.12,1369.3,119187
6,7,SKFINDIA,Skf India Limited,500472,-0.14,4702.4,21878
1,2,HONAUT,Honeywell Automation India Limited,517174,-0.15,39010.0,7476
25,26,CYIENT,Cyient Limited,532175,-0.2,1324.0,233692
26,27,TBOTEK,TBO Tek Ltd,544174,-0.21,1322.5,75047
20,21,BHARTIARTL,Bharti Airtel Limited,532454,-0.27,1865.1,3649505
3,4,POWERINDIA,Hitachi Energy India Ltd,543187,-0.34,18141.0,140612
8,9,FLUOROCHEM,Gujarat Fluorochemicals Ltd,542812,-0.34,3639.9,72497
27,28,NEWGEN,Newgen Software Technologies Ltd,540900,-0.36,1229.8,213017
31,32,PVRINOX,PVR Inox Ltd,532689,-0.77,1012.1,273655
12,13,WAAREEENER,Waaree Energies Ltd,544277,-0.78,2806.3,786534
11,12,TIINDIA,Tube Investments of India Ltd,540762,-0.89,3039.6,231198
10,11,MAZDOCK,Mazagon Dock Shipbuilders Ltd,543237,-1.05,3369.1,1871397
43,44,ACMESOLAR,ACME Solar Holdings Ltd,544283,-1.1,248.1,429479
35,36,ELECON,Elecon Engineering Company Limited,505700,-1.15,686.35,506189
29,30,INTELLECT,Intellect Design Arena Limited,538835,-1.18,1149.2,304449
21,22,BHARTIHEXA,Bharti Hexacom Ltd,544162,-1.4,1793.8,188364
16,17,CAPLIPOINT,Caplin Point Laboratories Limited,524742,-2.02,2051.1,114435
17,18,ZENTEC,Zen Technologies Limited,533339,-3.35,2013.7,663906
41,42,BLS,Bls International Services Limited,540073,-3.56,384.45,5311050
